runtime,seed,suboptimality,agent num,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.003643,1,1.5,10,0,1,1457,6458,1447,1447,1447,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.125604,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.00361,2,1.5,10,0,1,1457,6458,1447,1447,1447,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.129171,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.003617,3,1.5,10,0,1,1457,6458,1447,1447,1447,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.128615,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.003712,4,1.5,10,0,1,1457,6458,1447,1447,1447,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.127854,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.00353,5,1.5,10,0,1,1457,6458,1447,1447,1447,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.128183,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.009097,1,1.5,20,0,1,3288,15090,3268,3268,3268,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0.256936,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.009096,2,1.5,20,0,1,3288,15090,3268,3268,3268,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,0,0,0,0,0,0,0,0,0.257089,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.009086,3,1.5,20,0,1,3288,15090,3268,3268,3268,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0.258046,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.009054,4,1.5,20,0,1,3288,15090,3268,3268,3268,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0.260257,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.008966,5,1.5,20,0,1,3288,15090,3268,3268,3268,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0.256493,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.017431,1,1.5,30,0,1,6098,27331,5411,5410,5410,5410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114,0,0,0,0,0,0,0,0,0.372463,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
